num,key,value,Input Type,class,describe,default,hint
1,shop_id,,text,form-control,,,店家ID
2,shop_data,,N/A,,,,店家資料容器
2-1,shop_data.active,,boolean,switch-toggle,,true,是否啟用
2-2,shop_data.address,,text,form-control,,,地址
2-3,shop_data.booking,,boolean,switch-toggle,,false,預約設定
2-3-1,shop_data.booking.phone,,text,form-control,,,預約電話
2-3-2,shop_data.booking.phone_hint,,text,form-control,,,預約須知
2-3-3,shop_data.booking.url,,url,form-control,,,預約網址
2-3-4,shop_data.booking.url_label,,text,form-control,,,網址標籤
2-4,shop_data.call_modes,,N/A,,,,叫號模式參數設定
2-4-1,shop_data.call_modes.tawe_zz001,,N/A,,,caller1:tawe_zz001,第一叫號機
2-4-1-1,shop_data.call_modes.tawe_zz001.early_call,,number,form-control,,0,提早幾號通知_sequential模式必填
2-4-1-2,shop_data.call_modes.tawe_zz001.caller_notes,,text,form-control,,,叫號須知
2-4-1-3,shop_data.call_modes.tawe_zz001.estimate_time,,boolean,switch-toggle,,false,是否顯示預估時間
2-4-1-4,shop_data.call_modes.tawe_zz001.expire_num,,boolean,switch-toggle,,true,是否有過號功能_sequential模式必填
2-4-1-5,shop_data.call_modes.tawe_zz001.mode,,radio,form-check-input,,sequential,叫號模式
2-4-1-6,shop_data.call_modes.tawe_zz001.num_interval,,number,form-control,,1,叫號的跳號間隔
2-4-1-7,shop_data.call_modes.tawe_zz001.password,,text,form-control,,,網頁後台的登入密碼
2-4-1-8,shop_data.call_modes.tawe_zz001.set_params,,N/A,,,,可設定參數列表
2-4-1-8-1,shop_data.call_modes.tawe_zz001.set_params.get_num_max,,number,form-control,,,最大取號數
2-4-1-9,shop_data.call_modes.tawe_zz001.time_period_items,,array,,,,時段項目
2-5,shop_data.callers,,N/A,,,,叫號機列表
2-5-1,shop_data.callers.tawe_zz001,,text,form-control,,,第一叫號機名稱
2-6,shop_data.get_num,,N/A,,,,取號機參數
2-6-1,shop_data.get_num._type,,radio,form-check-input,,caller,取號機型別
2-6-2,shop_data.get_num.tawe_zz001,,N/A,,,,第一取號機取號設定
2-6-2-1,shop_data.get_num.tawe_zz001._external,,boolean,switch-toggle,,false,是否為外部網頁取號
2-6-2-2,shop_data.get_num.tawe_zz001.auto_get_num,,boolean,switch-toggle,,false,是否掃碼自動取號
2-6-2-3,shop_data.get_num.tawe_zz001.get_num_item_names,,array,,,,取號項目名稱
2-6-2-4,shop_data.get_num.tawe_zz001.get_num_item_type,,text,form-control,,,取號項目型別
2-6-2-5,shop_data.get_num.tawe_zz001.get_num_limit,,boolean,switch-toggle,,true,是否限制不能重覆取號
2-6-2-6,shop_data.get_num.tawe_zz001.get_num_notes,,text,form-control,,,取號須知
2-6-2-7,shop_data.get_num.tawe_zz001.pre_order_food,,url,form-control,,,預先取餐網址
2-6-2-8,shop_data.get_num.tawe_zz001.reserve_time_limit,,number,form-control,,10,到號後保留幾分鐘
2-6-2-9,shop_data.get_num.tawe_zz001.support_reserve_num,,boolean,switch-toggle,,false,是否支援到號保留
2-6-2-10,shop_data.get_num.tawe_zz001.get_num_max,,number,form-control,,0,取號上限_0表示可無線取號
2-6-2-11,shop_data.get_num.tawe_zz001.hide_cancel_btn,,boolean,switch-toggle,,false,是否隱藏取消鈕
2-6-2-12,shop_data.get_num.tawe_zz001.one_time_limit,,boolean,switch-toggle,,false,是否當天_當時段_只能取號一次
2-6-2-13,shop_data.get_num.tawe_zz001.hide_get_num_btn,,boolean,switch-toggle,,false,是否隱藏取號按鈕
2-6-2-14,shop_data.get_num.tawe_zz001.game_start_time,,text,form-control,,,活動開始時間_YYYY-MM-DDThh:mm:ss
2-6-2-15,shop_data.get_num.tawe_zz001.guests_per_game,,number,form-control,,1,每場幾人_必須 > 0
2-6-2-16,shop_data.get_num.tawe_zz001.time_per_game,,number,form-control,,3,每場所需時間_分鐘_必須 > 0
2-6-2-17,shop_data.get_num.tawe_zz001.url,,url,form-control,,,外部取號網址__external為true_此為必填欄位
2-6-2-18,shop_data.get_num.tawe_zz001.get_num_btn_name,,text,form-control,,線上取號,取號按鈕名稱
2-7,shop_data.google_map,,N/A,d-none,,,Google地圖資訊
2-7-1,shop_data.google_map.address,,text,d-none,,,地圖地址
2-7-2,shop_data.google_map.comment_num,,number,d-none,,,評論數
2-7-3,shop_data.google_map.coordinate,,N/A,d-none,,,座標
2-7-3-1,shop_data.google_map.coordinate.x,,number,d-none,,,經度
2-7-3-2,shop_data.google_map.coordinate.y,,number,d-none,,,緯度
2-7-4,shop_data.google_map.name,,text,d-none,,,地圖名稱
2-7-5,shop_data.google_map.star_num,,number,d-none,,,星級評分
2-8,shop_data.id,,text,form-control,,,店家代碼
2-9,shop_data.isMultiCaller,,boolean,switch-toggle,,false,是否有多部叫號機
2-10,shop_data.name,,text,form-control,,,店家名稱
2-11,shop_data.phone,,text,form-control,,,店家電話
2-12,shop_data.pinyin,,text,form-control,,,店家名稱的漢語拼音
2-13,shop_data.vendor_id,,text,form-control,,,叫號機供應商代碼
2-14,shop_data.zone,,text,form-control,,,地區